miRNA	bladder	breast_cancer	cervical	head n neck	KIRC	KIRP	LUAD	LUSC	PRAD	STAD	THCA	UCEC	
hsa-mir-3128	0.0	0.0	0.0	0.51795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-217	8.15542	13.079703	1.292636	1.553849	22.170186	8.636935	11.046939	13.892229	48.364237	52.588652	179.892491	6.35462	
hsa-mir-22	63975.513995	67989.751326	33975.331973	38610.030611	62109.621268	53628.721821	46660.234247	136844.266034	41627.489632	40988.876239	113622.248125	63806.452135	
hsa-mir-612	0.107308	0.0	0.430879	1.035899	0.0	0.0	0.0	0.414693	0.300399	0.097027	0.0	0.0	
hsa-mir-206	0.107308	0.0	0.10772	63.189844	0.312256	2.790394	0.0	1.86612	0.901197	0.485135	2.319833	0.0	
hsa-mir-3944	0.0	0.72665	0.215439	0.0	0.312256	0.531504	1.453545	0.207347	0.300399	0.291081	0.210894	0.0	
hsa-mir-4283-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-503	11.803897	3.633251	2.154394	1.553849	199.531678	1.328759	10.465521	12.026109	2.102793	9.508649	45.131293	6.065774	
hsa-mir-3672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1228	0.429233	1.4533	0.430879	0.51795	1.873537	0.930131	1.744253	1.86612	0.300399	1.358378	0.0	1.444232	
hsa-mir-499	0.214616	0.0	0.538598	0.51795	1.561281	0.398628	0.0	0.207347	0.0	0.097027	1.054469	0.288846	
hsa-mir-103-1	9624.146739	16353.262441	6486.234015	9924.431162	9278.691422	15823.263332	8942.496905	19771.96009	14881.165164	6044.97824	34552.855387	34630.946769	
hsa-mir-548w	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3689b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-522	1.18039	0.72665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.433514	0.0	1.155385	
hsa-mir-519c	1.073082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.300399	0.0	0.0	0.0	
hsa-mir-1294	0.0	0.72665	0.10772	0.0	0.0	0.132876	1.162836	1.036734	0.0	0.194054	0.0	0.0	
hsa-mir-600	0.214616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.097027	0.0	1.444232	
hsa-mir-224	181.13617	10.173103	63.770062	53.866752	20.608906	2.258891	1.744253	103.880701	3.00399	24.741894	30.579614	5.488081	
hsa-mir-4260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-550b-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-548o	0.214616	0.72665	0.754038	0.0	0.624512	0.531504	2.325671	0.62204	0.0	0.388108	0.843576	0.0	
hsa-mir-4314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-521-2	0.321924	0.72665	0.0	0.51795	0.0	0.0	0.0	0.207347	0.0	0.485135	0.0	0.288846	
hsa-mir-18a	11.589281	30.519308	6.032303	10.87694	2.185793	1.993139	12.209774	18.86855	2.102793	21.734055	6.326817	18.197321	
hsa-mir-363	12.018514	2.906601	165.888338	1.035899	43.091348	20.064264	10.465521	7.879175	120.760394	37.452435	11.599164	94.452763	
hsa-mir-3927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.036734	0.0	0.0	0.0	0.0	
hsa-mir-3162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.288846	
hsa-mir-561	0.429233	0.72665	1.077197	0.0	0.312256	2.92327	0.581418	0.414693	0.600798	0.194054	0.0	1.733078	
hsa-mir-197	298.316678	279.760322	233.644029	152.795115	247.931381	135.799192	136.051772	489.752926	100.333263	116.43244	482.73612	434.713788	
hsa-mir-513c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.036734	0.0	0.0	0.210894	1.444232	
hsa-mir-4309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-203	71183.939489	22655.499507	6695.210233	21190.351636	215.144486	18.336877	551.47481	81810.50999	1086.242748	4719.103827	3128.400005	8280.936602	
hsa-mir-421	5.472716	1.4533	1.508076	12.948739	3.747074	4.384905	6.104887	1.86612	2.703591	3.007838	2.530727	4.910388	
hsa-mir-3139	0.0	0.0	0.0	0.0	0.0	0.132876	0.0	0.0	0.0	0.097027	0.0	0.288846	
hsa-mir-1246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.300399	0.0	0.0	0.0	
hsa-mir-4257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.210894	0.0	
hsa-mir-2276	0.0	0.0	0.0	0.0	0.624512	0.66438	0.290709	0.0	0.300399	0.0	0.421788	0.288846	
hsa-mir-19a	8.370036	45.052312	8.940735	9.841041	12.490246	6.112292	11.046939	22.186098	4.806384	12.613514	39.648052	26.862712	
hsa-mir-3180-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-412	1.18039	6.539852	0.646318	4.661546	3.434818	0.132876	1.744253	4.561628	4.806384	5.23946	2.952514	2.599617	
hsa-mir-1268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-548i-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-512-1	12.984287	1.4533	0.10772	0.0	0.0	0.0	0.0	0.414693	0.0	0.485135	0.0	0.0	
hsa-mir-155	189.29159	287.026824	298.383569	343.400546	568.618445	12.357461	171.808968	654.386212	69.692566	180.179201	45.131293	141.823568	
hsa-mir-1244-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-3165	0.0	0.0	0.10772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.210894	0.0	
hsa-mir-548h-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-548a-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-145	4333.53264	1509.252437	2053.352921	333.559505	758.782438	214.594613	340.710847	2031.375704	1522.72248	8185.97676	2209.746208	1815.977133	
hsa-mir-3175	0.0	0.0	0.215439	0.0	0.0	0.0	0.0	0.0	0.0	0.194054	0.0	0.0	
hsa-mir-3147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-1267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hsa-mir-513a-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.414693	0.0	0.0	0.0	0.288846	
hsa-mir-507	0.0	0.0	0.10772	0.0	0.0	0.0	0.0	0.62204	0.0	0.0	0.0	0.0	
